"Name","Live Bytes","Live Objects"
"java.io.ObjectInputStream$PeekInputStream","12,816 B (0%)","534 (0%)"
"java.io.ObjectInputStream$BlockDataInputStream","29,904 B (0%)","534 (0%)"
"java.io.ObjectInputStream$ValidationList","8,544 B (0%)","534 (0%)"
"java.io.ObjectInputStream$HandleTable","17,088 B (0%)","534 (0%)"
"java.io.ObjectStreamField","20,000 B (0%)","500 (0%)"
"javassist.bytecode.MethodrefInfo","11,832 B (0%)","493 (0%)"
"javassist.bytecode.ExceptionTable","11,568 B (0%)","482 (0%)"
"javassist.bytecode.CodeAttribute","19,280 B (0%)","482 (0%)"
"java.lang.reflect.Field","34,488 B (0%)","479 (0%)"
"long[]","106,528 B (0%)","466 (0%)"
"java.rmi.server.ObjID","10,776 B (0%)","449 (0%)"
"sun.rmi.transport.ObjectEndpoint","10,752 B (0%)","448 (0%)"
"java.io.ObjectOutputStream$BlockDataOutputStream","17,880 B (0%)","447 (0%)"
"java.io.ObjectOutputStream$ReplaceTable","10,728 B (0%)","447 (0%)"
"sun.rmi.transport.StreamRemoteCall","14,272 B (0%)","446 (0%)"
"sun.rmi.transport.Transport$1","14,272 B (0%)","446 (0%)"
"sun.rmi.server.MarshalOutputStream$1","7,136 B (0%)","446 (0%)"
"sun.rmi.transport.ConnectionOutputStream","32,112 B (0%)","446 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation","10,680 B (0%)","445 (0%)"
"sun.rmi.transport.ConnectionInputStream","28,480 B (0%)","445 (0%)"
"javax.management.ObjectName","16,080 B (0%)","402 (0%)"
"javassist.bytecode.ClassInfo","9,024 B (0%)","376 (0%)"
"java.lang.ref.Finalizer","14,400 B (0%)","360 (0%)"
"sun.misc.FDBigInteger","10,912 B (0%)","341 (0%)"
"java.net.URL","20,928 B (0%)","327 (0%)"
"java.lang.invoke.LambdaForm$Name","9,888 B (0%)","309 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader","18,936 B (0%)","263 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper","18,936 B (0%)","263 (0%)"
"com.sun.jmx.remote.util.OrderClassLoaders","18,864 B (0%)","262 (0%)"
"java.lang.Short","4,096 B (0%)","256 (0%)"
"java.lang.Byte","4,096 B (0%)","256 (0%)"
"java.security.ProtectionDomain[]","6,144 B (0%)","231 (0%)"
"java.util.WeakHashMap$Entry","9,120 B (0%)","228 (0%)"
"javassist.bytecode.LineNumberAttribute","5,424 B (0%)","226 (0%)"
"java.io.ObjectStreamField[]","6,360 B (0%)","224 (0%)"
"javassist.bytecode.LocalVariableAttribute","5,280 B (0%)","220 (0%)"
"java.lang.ref.ReferenceQueue$Lock","3,376 B (0%)","211 (0%)"
"java.lang.ref.ReferenceQueue","6,688 B (0%)","209 (0%)"
"javax.management.Attribute","4,896 B (0%)","204 (0%)"
